question,y_true,rf_pred,lr_pred,baseline_score,rf_abs_error,lr_abs_error
i want leggings that are plaid and fit waist sizes between 25 and 38 inches.,1.0,1.6610992803492803,28.872583872475875,1,0.6610992803492803,27.872583872475875
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.0577936507936507,18.343931347746107,1,0.05779365079365073,16.343931347746107
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.183592412217412,17.395496716522068,1,0.18359241221741218,15.395496716522068
i want leggings that are in good condition and soft-lined with an elastic waist.,3.0,3.0651384633884633,17.173213987007564,1,0.0651384633884633,14.173213987007564
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,1.0,2.122262334887335,14.680343607725298,1,1.1222623348873348,13.680343607725298
i want leggings that are in excellent condition and have a 25.5-inch waist.,2.0,2.1222338494838495,15.263399979215833,2,0.12223384948384952,13.263399979215833
i want leggings with a side stripe and made from faux leather.,4.0,2.192780164380397,16.614821561802614,1,1.8072198356196032,12.614821561802614
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.3517741906070078,13.93433501251591,2,0.35177419060700776,11.93433501251591
"i want leggings that are nylon and elastane, black with a white stripe.",2.0,2.062421291671292,12.851603325500484,1,0.06242129167129207,10.851603325500484
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.213805888555888,11.19016061054873,1,0.21380588855588778,9.19016061054873
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.459415908165909,-5.8698129363602405,2,0.540584091834091,8.86981293636024
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.0219233193277306,-5.036190150095962,1,0.021923319327730617,7.036190150095962
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.0597746295099237,-3.582376241887708,1,0.05977462950992374,5.582376241887708
i want leggings that are black with an 11.75-inch rise and a skinny fit.,2.0,2.2846046837149783,6.92218523672382,1,0.28460468371497827,4.92218523672382
i want leggings that are fleece-lined and come in sizes 1x/2x.,2.0,2.436174502512739,5.859634867414954,1,0.4361745025127388,3.859634867414954
i want leggings that are black and pink floral with an 11-inch rise.,3.0,2.6767511297325552,6.69719564383297,2,0.32324887026744475,3.69719564383297
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.07841810966811,5.584180847654309,1,0.0784181096681098,3.5841808476543093
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,2.8084165232199285,7.349889097769179,1,1.1915834767800715,3.3498890977691786
"i want leggings that are stretchy, plaid, and ultra-soft.",3.0,2.256430534879065,-0.24445522891371496,2,0.743569465120935,3.244455228913715
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,1.9673333333333327,4.706609606638345,1,0.03266666666666729,2.706609606638345
